,Wavelength,n,k
0,0.3,1.5,0.00013
1,0.325,1.495,0.0001
2,0.35,1.49,-0.0
3,0.375,1.487,-0.0
4,0.4,1.484,-0.0
5,0.425,1.482,-0.0
6,0.45,1.48,-0.0
7,0.475,1.478,-0.0
8,0.5,1.477,-0.0
9,0.525,1.476,-0.0
10,0.55,1.475,0.0
11,0.575,1.474,0.0
12,0.6000000000000001,1.473,-0.0
13,0.625,1.472,0.0
14,0.65,1.472,0.0
15,0.675,1.471,0.0
16,0.7,1.471,-0.0
17,0.7250000000000001,1.47,0.0
18,0.75,1.47,-0.0
19,0.775,1.47,-0.0
20,0.8,1.469,0.0
21,0.825,1.469,0.0
22,0.8500000000000001,1.469,-0.0
23,0.875,1.468,-0.0
24,0.9000000000000001,1.468,-0.0
25,0.925,1.468,-0.0
26,0.95,1.468,0.0
27,0.9750000000000001,1.468,0.0
28,1.0,1.467,-0.0
29,1.0250000000000001,1.467,0.0
30,1.05,1.467,-0.0
31,1.075,1.467,0.0
32,1.1,1.467,0.0
33,1.125,1.467,-0.0
34,1.1500000000000001,1.467,-0.0
35,1.175,1.467,0.0
36,1.2,1.467,0.0
37,1.225,1.466,0.0
38,1.25,1.466,-0.0
39,1.2750000000000001,1.466,0.0
40,1.3,1.466,-0.0
41,1.3250000000000002,1.466,0.0
42,1.35,1.466,-0.0
43,1.375,1.466,-0.0
44,1.4000000000000001,1.466,-0.0
45,1.425,1.466,0.0
46,1.4500000000000002,1.466,-0.0
47,1.475,1.466,0.0
48,1.5000000000000002,1.466,-0.0
49,1.5250000000000001,1.466,0.0
50,1.55,1.466,-0.0
51,1.5750000000000002,1.466,0.0
52,1.6,1.466,-0.0
53,1.6250000000000002,1.466,0.0
54,1.6500000000000001,1.466,-0.0
55,1.675,1.465,0.0
56,1.7000000000000002,1.465,-0.0
57,1.725,1.465,0.0
58,1.7500000000000002,1.465,-0.0
59,1.7750000000000001,1.465,0.0
60,1.8,1.465,0.0
61,1.8250000000000002,1.465,0.0
62,1.85,1.465,0.0
63,1.8750000000000002,1.465,0.0
64,1.9000000000000001,1.465,-0.0
65,1.925,1.465,0.0
66,1.9500000000000002,1.465,-0.0
67,1.975,1.465,-0.0
68,2.0,1.465,0.0
69,2.025,1.465,-0.0
70,2.05,1.465,-0.0
71,2.075,1.465,0.0
72,2.1,1.465,0.0
73,2.125,1.465,0.0
74,2.15,1.465,0.0
75,2.175,1.465,0.0
76,2.2,1.465,-0.0
77,2.225,1.465,-0.0
78,2.25,1.465,-0.0
79,2.275,1.465,0.0
80,2.3,1.465,-0.0
81,2.3249999999999997,1.465,-0.0
82,2.35,1.465,0.0
83,2.375,1.465,-0.0
84,2.4,1.465,0.0
85,2.425,1.465,-0.0
86,2.4499999999999997,1.465,0.0
87,2.475,1.465,-0.0
88,2.5,1.465,0.0
